group,english,russian
cours 8,dance imp.,плясать
cours 8,dancing p.,заплясать
cours 8,stop imp.,переставать
cours 8,stop p.,перестать
cours 8,cry imp.,плакать
cours 8,cry p.,заплакать
cours 8,say goodbye imp.,прощаться
cours 8,say goodbye p.,проститься
cours 8,become imp.,становиться
cours 8,become p.,стать
cours 8,as if,будто
cours 8,suddenly,вдруг
cours 8,everything,все
cours 8,sad,грустный
cours 8,friendship,дружба
cours 8,earth,земля
cours 8,grasshopper,кузнечик
cours 8,palms,ладоши
cours 8,light bulb,лампочка
cours 8,surely,наверняка
cours 8,everywhere,повсюду
cours 8,rainbow,радуга
cours 8,stream,ручей
cours 8,light,светлый
cours 8,elephant,слон
cours 8,sunny,солнечный
cours 8,silence,тишина
cours 8,snail,улитка
cours 8,smile,улыбка
cours 8,gloomy,хмурый 
